Title,Corp,Condition,Location,Tag,Link
[월급 300이상] 프론트앤드/백엔드 개발자 경력직모집,주식회사 엑스코퍼레이션,경력2년↑학력무관정규직,서울강남구,"Python, Java, 웹개발, Linux, 백엔드/서버개발 외 수정일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44311182
LG전자와 협업하실 SW 개발자를 모집합니다,노드그라운드,"경력무관초대졸↑정규직·계약직3,000 (면접 후 협의)",부산해운대구,"Python, C++, 임베디드, 펌웨어, H/W 외 등록일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44268618
IT인프라 운영관리 신입 채용,기웅정보통신(주),신입초대졸↑정규직,서울금천구,"AWS, Linux, 데이터엔지니어, 보안컨설팅, 유지보수 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44145395
[(주)프래프] 백엔드 개발자 신입/경력 모집,(주)프래프,신입·경력초대졸↑정규직·계약직,서울서초구,"Python, Java, AWS, 웹개발, 백엔드/서버개발 외 등록일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44400136
자율주행 로봇 / Vision / 협동로봇 / ROS / AI / 임베디드 SW,(주)정원에스에프에이,경력무관초대졸↑정규직·계약직,서울구로구,"H/W, S/W, 자동제어, 전자제어, PCB 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44117241
소프트웨어개발부서의 인재을모십니다,세븐홀딩스,경력무관학력무관정규직·기간제200 이상 (면접 후 협의),대구동구,"Python, Java, 웹개발, 백엔드/서버개발, 프론트엔드 외 등록일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44357756
데이터 분석가/Data Analyst/데이터개발자 채용,(주)애크미랩,신입·경력학력무관정규직·인턴직,서울강남구,"데이터분석가, 데이터마이닝, 데이터시각화, 데이터분석, SQL 외 수정일 22/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44062670
백엔드 채용형 인턴 (Backend Intern),(주)하이퍼그로스,신입·경력학력무관정규직·인턴직,서울강남구,"Python, AWS, 백엔드/서버개발, Docker, 소프트웨어개발 수정일 22/11/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44409372
"(주)아이옵스 머신러닝 엔지니어 연구원 채용모집 (신입, 경력)",(주)아이옵스,경력무관대졸↑정규직,대전유성구,"머신러닝, 딥러닝, S/W, 네트워크, Pytorch 외 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44426570
프론트엔드&백엔드/서버개발 정규직 모집합니다(인재선발),(주)웨이업,경력무관학력무관정규직,서울영등포구,"백엔드/서버개발, 프론트엔드, CSS, Javascript, React 외 등록일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44336538
부산 스타트업 2022년 하반기 프론트개발(신입/경력) 채용,(주)히어로웍스,경력무관학력무관정규직,부산해운대구,"백엔드/서버개발, 프론트엔드, CSS3, jQuery, 시스템관리 외 등록일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44332834
다날 결제서비스 WEB QA/운영 담당자 모집,㈜다날,신입·경력대졸↑정규직,경기성남시 분당구,"웹개발, QA/테스터, 트러블슈팅, PHP, WAS 외 등록일 22/10/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44240586
(다댐 앱) 웹/앱 개발자 모집 (신입무관),링크캠퍼스,"경력무관학력무관정규직2,400 이상 (면접 후 협의)",광주동구,"Python, 웹개발, 빅데이터, Linux, 백엔드/서버개발 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44434011
PLC S/W 개발자 경력직 채용 (신입 가능),(주)케이씨인더스트리얼,경력무관대졸↑정규직,서울강남구,"C++, 자동제어, PLC, 메카트로닉스, S/W 외 등록일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44398188
"인공지능(AI), 딥러닝 모델 설계 및 구현",(주)업보트엔터,경력무관학력무관정규직,서울서초구,"머신러닝, 딥러닝, AI(인공지능), Tensorflow, 매니지먼트 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44278572
빅데이터 분야 상시 채용,(주)LG유플러스,신입·경력학력무관,서울전체,"Python, AWS, 빅데이터, 머신러닝, 데이터분석가 외 수정일 22/07/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43583862
[정규직] 자사 솔루션 개발 경력무관 채용 공고,(주)아로아소프트,경력무관학력무관정규직,서울강남구,"Java, 웹개발, 백엔드/서버개발, 솔루션, S/W 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44276011
